Adj Close,Date
1.1005,11/28/2019
1.1012,11/29/2019
1.1019,12/2/2019
1.1079,12/3/2019
1.1085,12/4/2019
1.1083,12/5/2019
1.1105,12/6/2019
1.1059,12/9/2019
1.1065,12/10/2019
1.1093,12/11/2019
1.1136,12/12/2019
1.1186,12/13/2019
1.1124,12/16/2019
1.1137,12/17/2019
1.1151,12/18/2019
1.1116,12/19/2019
1.1126,12/20/2019
1.108,12/23/2019
1.1094,12/24/2019
1.109,12/25/2019
1.1095,12/26/2019
1.1101,12/27/2019
1.1182,12/30/2019
1.1202,12/31/2019
1.1221,1/1/2020
1.1221,1/2/2020
1.1171,1/3/2020
1.1162,1/6/2020
1.1198,1/7/2020
1.1155,1/8/2020
1.1113,1/9/2020
1.1111,1/10/2020
1.1117,1/13/2020
1.1136,1/14/2020
1.1131,1/15/2020
1.1154,1/16/2020
1.114,1/17/2020
1.1095,1/20/2020
1.1097,1/21/2020
1.1086,1/22/2020
1.1096,1/23/2020
1.1055,1/24/2020
1.1025,1/27/2020
1.102,1/28/2020
1.1023,1/29/2020
1.1017,1/30/2020
1.1029,1/31/2020
1.109,2/3/2020
1.1063,2/4/2020
1.1047,2/5/2020
1.1002,2/6/2020
1.0983,2/7/2020
1.0949,2/10/2020
1.0913,2/11/2020
1.0919,2/12/2020
1.0876,2/13/2020
1.0846,2/14/2020
1.0842,2/17/2020
1.084,2/18/2020
1.0795,2/19/2020
1.081,2/20/2020
1.0788,2/21/2020
1.0839,2/24/2020
1.0849,2/25/2020
1.0882,2/26/2020
1.0886,2/27/2020
1.0997,2/28/2020
1.1051,3/2/2020
1.1144,3/3/2020
1.1181,3/4/2020
1.1139,3/5/2020
1.1224,3/6/2020
1.1386,3/9/2020
1.1398,3/10/2020
1.1317,3/11/2020
1.1262,3/12/2020
1.1185,3/13/2020
1.1155,3/16/2020
1.1163,3/17/2020
1.1016,3/18/2020
1.0962,3/19/2020
1.0657,3/20/2020
1.0694,3/23/2020
1.0765,3/24/2020
1.0803,3/25/2020
1.089,3/26/2020
1.1048,3/27/2020
1.1139,3/30/2020
1.103,3/31/2020
1.1027,4/1/2020
1.0954,4/2/2020
1.0847,4/3/2020
1.0807,4/6/2020
